"clu_sigla","clu_nome","clu_serie","clu_link_escudo","cidade_cid_id"
CAM,Atlético-MG,A,https://s.sde.globo.com/media/organizations/2018/03/10/atletico-mg.svg,13
PAL,Palmeiras,A,https://s.sde.globo.com/media/organizations/2019/07/06/Palmeiras.svg,10
INT,Internacional,A,https://s.sde.globo.com/media/organizations/2018/03/11/internacional.svg,6
CAP,Athletico-PR,A,https://s.sde.globo.com/media/organizations/2026/01/07/Athletico-PR.svg,1
CFC,Coritiba,A,https://s.sde.globo.com/media/organizations/2018/03/11/coritiba.svg,1
RBB,Bragantino,A,https://s.sde.globo.com/media/organizations/2021/06/28/bragantino.svg,2
VIT,Vitória,A,https://s.sde.globo.com/media/organizations/2025/12/18/Vitoria_2025.svg,3
REM,Remo,A,https://s.sde.globo.com/media/organizations/2021/02/25/Remo-PA.svg,4
FLU,Fluminense,A,https://s.sde.globo.com/media/organizations/2018/03/11/fluminense.svg,11
GRE,Grêmio,A,https://s.sde.globo.com/media/organizations/2018/03/12/gremio.svg,6
COR,Corinthians,A,https://s.sde.globo.com/media/organizations/2024/10/09/Corinthians_2024_Q4ahot4.svg,7
BAH,Bahia,A,https://s.sde.globo.com/media/organizations/2018/03/11/bahia.svg,3
SAN,Santos,A,https://s.sde.globo.com/media/organizations/2018/03/12/santos.svg,8
CHA,Chapecoense,A,https://s.sde.globo.com/media/organizations/2021/06/21/CHAPECOENSE-2018.svg,9
SAO,São Paulo,A,https://s.sde.globo.com/media/organizations/2018/03/11/sao-paulo.svg,10
FLA,Flamengo,A,https://s.sde.globo.com/media/organizations/2018/04/10/Flamengo-2018.svg,11
MIR,Mirassol,A,https://s.sde.globo.com/media/organizations/2024/08/20/mirassol-novo-svg-71690.svg,12
VAS,Vasco,A,https://s.sde.globo.com/media/organizations/2021/09/04/vasco_SVG.svg,5
BOT,Botafogo,A,https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-svg.svg,5
CRU,Cruzeiro,A,https://s.sde.globo.com/media/organizations/2021/02/13/cruzeiro_2021.svg,13
