"rod_serie","rod_ano","rod_rodada","rod_sequencia","rod_data","clube_clu_sigla_mandante","rod_gols_mandante","clube_clu_sigla_visitante","rod_gols_visitante","rod_pontos_mandante","rod_pontos_visitante","rod_calculou_classificacao","rod_partida_finalidaza","estadio_est_id"
A,2026,1,1,"2026-01-28 19:00:00.848000",CAM,2,PAL,2,1,1,N,N,1
A,2026,1,2,"2026-01-28 19:00:00.848000",INT,0,CAP,1,0,3,N,N,2
A,2026,1,3,"2026-01-28 19:00:00.848000",CFC,0,RBB,1,0,3,N,N,3
A,2026,1,4,"2026-01-28 19:00:00.848000",VIT,2,REM,0,3,0,N,N,4
A,2026,1,5,"2026-01-28 19:30:00.848000",FLU,2,GRE,1,3,0,N,N,5
A,2026,1,6,"2026-01-28 20:00:00.848000",COR,1,BAH,2,0,3,N,N,6
A,2026,1,7,"2026-01-28 20:00:00.848000",CHA,4,SAN,2,3,0,N,N,7
A,2026,1,8,"2026-01-28 21:30:00.848000",SAO,2,FLA,1,3,0,N,N,8
A,2026,1,9,"2026-01-29 20:00:00.848000",MIR,2,VAS,1,3,0,N,N,9
A,2026,1,10,"2026-01-29 21:30:00.848000",BOT,4,CRU,0,3,0,N,N,10
A,2026,2,1,"2026-02-04 19:00:00.848000",FLA,,INT,,,,N,N,5
A,2026,2,2,"2026-02-04 19:00:00.848000",RBB,,CAM,,,,N,N,11
A,2026,2,3,"2026-02-04 19:00:00.848000",SAN,,SAO,,,,N,N,6
A,2026,2,4,"2026-02-04 20:00:00.848000",REM,,MIR,,,,N,N,12
A,2026,2,5,"2026-02-04 21:30:00.848000",PAL,,VIT,,,,N,N,13
A,2026,2,6,"2026-02-04 21:30:00.848000",GRE,,BOT,,,,N,N,14
A,2026,2,7,"2026-02-05 19:00:00.848000",BAH,,FLU,,,,N,N,15
A,2026,2,8,"2026-02-05 20:00:00.848000",VAS,,CHA,,,,N,N,16
A,2026,2,9,"2026-02-05 21:30:00.848000",CRU,,CFC,,,,N,N,17
A,2026,2,10,"2026-02-18 21:30:00.848000",CAP,,COR,,,,N,N,18
